adsh,AccountsReceivable,Cash,CashFlowfromOps,OtherIncome,sum_of_first_digits,total_deviation,CurrentRatio,DebtToEquityRatio,ProfitMargin,ReceivableTurnover,AQI,DEPI,TATA,fraud
0000016875-18-000029,-0.0496286856461653,-0.05142582811843977,-0.19147319562500542,-0.06670955524772897,0.6562643365622032,-0.3246426473798008,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,0.0
0000017843-18-000003,-0.049632278178355985,-0.054310194116677535,-0.20159119532768602,-0.06532248124640438,-0.5804027598368291,-0.32663921953768954,-0.01328462190658154,-0.0133323867563002,0.027293718627420343,-1.306219830862068,-0.2253442359924914,0.4063216313848713,0.024817161881770577,0.0
0000018172-18-000007,-0.0496286856461653,-0.05142582811843977,-0.19147319562500542,-0.06670955524772897,-0.7556784112949597,0.06284901714090765,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,0.0
0000018230-18-000042,0.1646164622102717,0.3139121284922079,2.053607368324122,0.033675262452044406,1.1528786823602397,-0.3601591654132917,-0.013284573330713407,-0.013332375956637128,0.027343074482528665,-0.03573882680000433,0.03314508659888711,0.17782007556967433,-0.01741747707474228,0.0
0000018349-18-000005,0.6052367587477019,-0.0380648841951217,-0.007581737800345518,-0.0024340891037825697,1.7858185348479334,-0.3487325530255082,-0.013382472274492832,-0.013332377726694123,-0.05861905292298494,-0.03738482232980714,-0.2238506150890775,0.24413000883828528,-0.024675746626299934,0.0
0000018926-18-000012,-0.026883466213922885,-0.16218909921064206,1.644107222877049,-0.029997877828808465,0.31869641523543324,-0.40285497763402023,-0.013284613858316294,-0.01333238364321222,0.027183253516666405,-0.033878698329407805,0.49968497090282654,0.3124370124642039,-0.027934433194651324,0.0
0000019612-18-000037,0.10526163330221007,-0.013801127260862831,-0.0797059467833237,-0.025080293528635698,1.7144099361057321,-0.42980457864535715,-0.013277362326472206,-0.013332378398314698,0.02569868482440396,-0.03737276974519427,-0.1519719063385108,0.12437144796231515,-0.0254629288214512,0.0
0000019617-18-000057,16.207450666236838,20.317849306825746,15.095469977212415,2.3557863613443355,1.9124065053454722,-0.26296527250769225,-0.013284581855673114,-0.013332373144524064,0.025396004164261264,-0.037322089531384724,-0.20851241125859196,0.00997789198442339,-0.03155292120815964,0.0
0000020212-18-000010,-0.048983377051414416,-0.04908397604138525,-0.09248410404563032,-0.054339500431515336,0.5783640470252563,-0.30102805113039566,-0.013284629962578636,-0.013332372624881513,0.027400632074733842,-0.025291206411136868,0.07680297829762736,0.364977701812179,-0.015136762659997884,0.0
0000020286-18-000012,-0.04150058156475192,-0.026379766002080564,0.25268309053597343,-0.06526821918278289,0.8510150604045705,-0.28474601089525414,-0.01328455474698571,-0.013332381718118121,0.025927510422693843,-0.03221239666402098,-0.2253442359924914,-0.2893264619851928,-0.07817073548182628,0.0
