,Unnamed: 0,adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
4726,4726,0001564590-18-003507,0.0,578500000.0,40900000.0,349000000.0,875900000.0,5208100000.0,4112100158.07,1638200000.0,8627600170.16,2260100000.0,7714500000.0,3029500000.0,7522800000.0,2980100000.04,1290,0.00467919323,9247000170.16,10.557141420436123,8590400000.0,2.8825878325843752,3410699841.93,0.4533816985603764,13.003975799481413,28.068338916360933,0.07689955867496145,13914700170.16,0.11773160614075685,0.6322351170243761,0.2200334757119524
4727,4727,0001564590-18-003508,0.0,28034000.0,1928000000.0,-77976000.0,220067000.0,131098000.0,3253702133.65,381501000.0,3520878075.62,59783000.0,999051000.0,872454000.0,875534000.0,4415937000.04,794,0.0025965562040000004,5476912075.62,24.887475521636592,1219118000.0,0.2760723262104865,-2378168133.65,-2.7162487506481763,31.231147891845612,11.687050417231085,0.032019316211592014,6730867075.62,0.056679324626962575,0.13063398807435989,-0.3417378634591625
4728,4728,0001564590-18-003510,0.0,-13099000.0,264375000.0,-200100000.0,231526000.0,236689000.0,975249006.18,0.0,9707303051.07,178367000.0,1349860000.0,486624000.0,571468000.0,-1108885999.939999,1074,0.004423156438,9958579051.07,43.01278928098788,1581386000.0,-1.426103314574778,-403781006.18,-0.7065680076224742,-43.62684174364456,-8.366408967781224,-0.022921668404880063,10445203051.07,0.0,0.32722901427182977,-0.019499956600569388
4729,4729,0001564590-18-003511,0.0,38685000.0,162551000.0,92461000.0,81932000.0,37750000.0,1792792214.79,450000000.0,2855612067.91,78693000.0,125365000.0,215443000.0,87511000.0,2755350000.004,706,0.01672331596,3056848067.91,37.30957462175951,207297000.0,0.07523436224062244,-1705281214.79,-19.48647844031036,2.2621429494636165,161.35143010592952,0.44205871261898505,3722291067.91,0.1208932863631933,0.14909574909258946,-0.4829665875106861
4730,4730,0001564590-18-003512,0.0,12586000.0,-1737748000.0,660328000.0,3203620000.0,13653710000.28,10226137745.37,382442000.0,7917139824.42,5214436000.0,10474526000.0,27943108000.0,3617540000.0,25474781369.33,1062,0.005116600545000001,6191977824.42,1.932806582684588,13678146000.0,0.5369288867172618,-6608597745.370001,-1.8268209184611643,287.4257111075798,1.2698933529415015,0.003479159871072607,34517527824.42,0.011079646316079272,0.3282392898463554,-0.21058651078213889
4731,4731,0001564590-18-003515,0.0,16020000.0,234286000.0,-129715000.0,143660000.0,20533000.0,290582051.31,2480000.0,178003000.0,125062000.0,161329000.0,51608000.0,26418000.0,-890672999.99,580,0.01254736348,428309000.0,2.9814074899067236,304989000.0,-0.34242533455423513,-264164051.31,-9.999396294571882,1.6490636704119852,221.3377242789008,0.6064047240517829,482397000.0,0.005140993828734453,0.28462316851720937,-0.27871038026770484
4732,4732,0001564590-18-003518,0.0,227360000.0,478456000.0,128048000.0,104721000.0,198760000.0,759076124.0899999,39166000.0,1364002000.0,24354000.0,154475000.0,652808000.0,2233719000.0,1703006000.002,1224,0.00896358466,2069818000.0,19.76507099817611,259196000.0,0.15219911145333345,1474642875.91,0.6601738517288881,9.824590957072484,37.151673957198724,0.10178540810191436,2761792000.0,0.014181372094639988,0.2334047310373335,0.4875801204109506
4733,4733,0001564590-18-003524,0.0,538000000.0,1957000000.0,2663000000.0,3751600000.1,5637000000.0,56579200033.88001,4989000000.0,23493100000.0,1945000000.0,9279000000.0,17542000000.0,69480000000.0,27953000000.03,1136,0.003819344057,25988100000.0,6.927204392607763,13030600000.1,0.4661610560614609,12900799966.119987,0.18567645316810572,129.1449814126394,2.8262809441565917,0.0077432354634427185,48519100000.0,0.102825485221284,0.24319427067604296,0.21100556205947732
4734,4734,0001564590-18-003526,0.0,43036000.0,387566000.0,-546742000.0,168413000.0,10363000.0,2935267197.0199995,44329000.0,3951662064.56,1211851000.0,217253000.0,554104000.0,429462000.0,2281254035.7341995,798,0.004330154412,4382264064.559999,26.020937009375764,385666000.0,0.16905876941314746,-2505805197.0199995,-5.834754173873358,9.979133748489636,36.57632107148013,0.10020909882597297,4980697064.559999,0.008900159842167854,0.018358912035601728,-0.393331128479918
4735,4735,0001564590-18-003531,0.0,3659400000.0,211500000.0,1892700000.0,2476300000.0,97900000.0,159418801017.99,424300000.0,63725700033.60001,541200000.0,30091500000.0,41104700000.0,39460700000.0,51154600003.96002,1624,0.0037332081640000002,67596600033.60001,27.297419550781413,32567800000.0,0.6366543770741797,-119958101017.99,-3.039938496225105,10.783379789036452,33.84838586238968,0.09273530373257444,109125600033.6,0.0038881802241578227,0.002376063646468912,-1.116610593485597
