adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0001037976-18-000008,0.0,20161231.0,3884600000.0,74900000.0,234500000.0,1071400000.0,747500000.0,20622700000.0,5095800000.0,46478900000.0,3214600000.0,12444800000.0,4099900000.0,11382100000.0,40960500000.65,1446,0.002078345441
0001038133-18-000007,0.0,20161231.0,30660000.0,11344000.0,5855000.0,13552000.0,45314000.0,79942000.0,39632000.0,466520032.82,38442000.0,95999000.0,103268000.0,394272000.0,466598000.02,972,0.004978155220000001
0001038133-18-000014,0.0,20161231.0,30660000.0,11344000.0,5855000.0,13552000.0,45314000.0,79942000.0,39632000.0,466520032.82,38442000.0,95999000.0,103268000.0,394272000.0,466598000.02,972,0.004978155220000001
0001038357-18-000015,0.0,20161231.0,615000000.0,18000000.0,1566000000.0,826000000.0,10557000000.0,8083000000.0,272000000.0,22590000000.0,3509000000.0,17359000000.0,42532000000.0,3570000000.0,48616000000.09,1082,0.002451877449
0001038509-18-000007,0.0,20161231.0,1231950000.0,-286243000.0,63949000.0,20465000.0,-15720000.0,3708054000.0,0.0,30116114000.0,74993000.0,33077698000.0,520327000.0,193499000.0,17983515005.0,1220,0.011692292909999999
0001038773-18-000010,0.0,20161231.0,2519916352.0,38829982.0,11590741.0,-34373.0,11887178.0,284984713.0,10800107.0,1307140861.31,59891617.0,1130907940.0,106961961.0,191050.0,2764115552.0,1060,0.006429289854
0001039399-18-000014,0.0,20161231.0,78687000.0,82116000.0,17423000.0,115611000.0,253314000.0,773093000.0,979667000.0,2043991200.0,150047000.0,750752000.0,466687000.0,596291000.0,1353680000.002,1334,0.0038554091499999996
0001039684-18-000021,0.0,20161231.0,1158445000.0,537030003.075,1353341000.0,1416101000.0,2898679000.0,2465510000.0,2706060000.0,30966516000.0,1637952000.0,38283177000.0,30996445000.0,27570995000.0,35267661002.47,1262,0.0019415254569999998
0001039828-18-000006,0.0,20161231.0,8801676000.0,-2050697000.0,1414322000.0,2699113000.0,3920000.0,143626466040.86,0.0,184287222000.0,7635517000.0,106931601000.0,9002131000.0,8057056000.0,61567510002.24,1578,0.005737520715
0001040161-18-000006,0.0,20161231.0,3402000.0,28469000.0,-1535000.0,14109000.0,25794000.0,92924002.46,11205000.0,377497006.55,-3000000.0,27482000.0,52174000.0,69377000.0,58538000.00199997,952,0.008024397811
0001040593-18-000017,0.0,20161231.0,77844000.0,-1270000000.0,545536000.0,101358000.0,3619706000.0,2897975000.0,38107000.0,3466405000.0,994976000.0,5306758000.0,27003695000.0,173671000.0,-126464999.99,1198,0.0027193226429999997
0001040971-18-000006,0.0,20161231.0,2684560000.0,2419703002.88,645525000.0,4418990000.0,7482550000.0,10516228000.0,1302198000.0,26959267000.0,4468437000.0,29370475000.0,38125605000.0,4273693004.56,44013292028.735,1548,0.009256796631
0001041061-18-000013,0.0,20161231.0,0.0,0.0,0.0,9204000000.0,310000000.0,278000000.0,0.0,10113000000.0,375000000.0,12440000000.0,468000000.0,6429000000.0,20914000002.03,564,0.005500403491
0001042046-18-000014,0.0,20161231.0,2193000000.0,42013000000.0,1130000000.0,1387000000.0,134000000.0,105285000043.02,266000000.0,132215000000.0,7728000000.0,63787000000.0,50979000000.0,21069000000.0,73073000002.1525,1670,0.010513047099999999
0001042773-18-000004,0.0,20161231.0,1236000000.0,789000000.0,514000000.0,3238000000.0,2261000000.0,8242000000.0,1000000000.0,17817000000.0,713000000.0,15141000000.0,11946000000.0,10257000000.0,21351000000.0,940,0.0026415088
0001042776-18-000040,0.0,20161231.0,353656000.0,-96553999.16,231847000.0,3636274000.0,1388730000.0,1423442000.0,500561000.0,9076658000.0,365918000.0,6315683000.0,7152196000.0,1191227000.0,12487687000.22,1008,0.004124352679
0001042893-18-000003,0.0,20161231.0,165080000.0,415633000.0,246657000.0,74159000.0,634106000.0,833781057.66,142762000.0,4352226000.0,2206000.0,228188000.0,980960000.0,1589751000.0,4291715000.02,828,0.012298914309999999
0001043277-18-000007,0.0,20161231.0,1937416000.0,470061000.0,529408000.0,1146811000.0,327973000.0,31247611067.0,2418546000.0,7296761012.6,6620619000.0,11945004000.0,1315595000.0,35396304000.0,11733320145.4,1092,0.007001500823999999
0001043604-18-000011,0.0,20161231.0,1517600000.0,2030400000.4,1107200000.0,945700000.0,1484500000.0,7207700029.2,6731900000.0,19970600000.0,563900000.0,9821300000.0,3538300000.0,16515300000.0,22318600000.4,1314,0.002448785173
