adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000011544-18-000012,0.0,5525321630.0,3839160000.0,3884504000.0,1449104000.0,491845000.0,267911228000.0,389871000.0,158783458000.0,1252690000.0,49561377000.0,135784056000.0,59787177000.0,152682673000.59998,1804,0.006887083676,168147939630.0,116.03579841750489,51010481000.0,0.3340947600504712,-208124051000.0,-3.481081754370172,10.820578602226998,33.732022419289,0.09241649977887399,304321866630.0,0.0012811139873626365,0.0036091854567888715,-0.6966589596329067
0000012400-18-000006,0.0,141713000.0,-262421000.0,261654000.0,609821000.0,1600436000.0,859789000.0,0.0,3269437000.0,1091000.0,3539304000.0,12136645000.0,1389994000.0,5537904002.0,652,0.01063520375,3148729000.0,5.163365971326012,4149125000.0,0.7492229909549811,530205000.0,0.38144409256442835,9.808514391763635,37.21256710460621,0.10195223864275674,15285374000.0,0.0,0.11650480913667176,0.017569148128138704
0000012927-18-000007,0.0,67361000000.0,41953000000.0,33363000000.0,93224000000.0,41015000000.0,292231000379.28,40604000000.0,871613000000.0,13574000000.0,194584000000.0,165615000000.0,1154763000000.0,464930000039.36,1632,0.0013638460709999999,980927000000.0,10.522258216768215,287808000000.0,0.6190351235145823,862531999620.72,0.7469342190741477,17.14290167901308,21.29161135228614,0.05833318178708532,1187146000000.0,0.034203038210969816,0.1984948942554324,0.6984557919756458
0000013239-18-000007,0.0,1224000000.0,983000000.0,40000000.0,909000000.0,5595000000.0,8513000015.52,2004000000.0,15146000006.16,2879000000.0,25942000001.0,14008000000.0,34339000000.0,-15873999999.98,1124,0.003009175051,17353000006.16,19.090209027678767,26851000001.0,-1.6915081265612846,25825999984.48,0.7520894605107895,28.054738562091504,13.010279856722676,0.03564460234718542,33365000006.16,0.060062940195714454,0.28541549762791407,0.7728457958854869
0000014195-18-000008,0.0,437441000.0,168627000.0,-191434000.0,1309349000.0,1551037000.0,1962519041.41,525451000.0,8823279000.0,267930000.0,3471870000.0,3532467000.0,6477073000.0,6111141000.860001,694,0.004499348553,9429347000.0,7.201553596481916,4781219000.0,0.7823774642619366,4514553958.59,0.6970052612638455,14.806735079702177,24.650944184201723,0.06753683338137458,13487265000.0,0.03895904766459324,0.3051117890337059,0.34892084930413986
0000014272-18-000055,0.0,36234000000.0,42784000000.0,10438000000.0,31603000000.0,11821000000.0,105721000061.28,36588000000.0,511810000000.0,8599000000.0,112342000000.0,63117000000.0,155514000000.0,338999000058.79004,1870,0.001624874878,590828000000.0,18.69531373603772,143945000000.0,0.42461777166020165,49792999938.72,0.32018339145491725,4.2919357509521445,85.04321154365523,0.2329951001196034,690533000000.0,0.05298515784184099,0.1577437348207852,0.05699220737998039
0000014693-18-000016,0.0,1296000000.0,2065000001.1720002,1007000000.0,1669000000.0,90000000.0,3855000000.0,2899000000.0,22834000000.0,804000000.0,18478000000.0,2970000000.0,16870000000.0,25139000003.78,518,0.004745594025,26195000001.172,15.695026962955064,20147000000.0,0.8014240819829992,13015000000.0,0.7714878482513338,13.016975308641975,28.040308239478364,0.07682276229994073,32064000001.172,0.09041292414839186,0.029411764705882353,0.3745009979903033
0000014846-18-000013,0.0,4711000.0,263729000.18,16173000.0,1524282000.0,315325000.0,91931000.0,0.0,2038982200.0,192084000.0,3023170200.0,5926857000.0,115636000.0,3585994000.0218,400,0.03598985785,2307422200.18,1.513776453556494,4547452200.0,1.2681148378866096,23705000.0,0.2049967138261441,24.5459562725536,14.870066415303192,0.040739907987132035,8234279200.18,0.0,0.05051518843891447,0.0009147127291767507
0000014930-18-000056,0.0,1359300000.0,3960600000.0,2295700000.0,2582700000.0,1855900000.0,11871000000.0,2337800000.0,23108600000.0,-2100000.0,8781500000.0,9864000000.0,22554000000.0,20471401035.825005,1650,0.006555959074000001,28428500000.0,11.007279203933868,11364200000.0,0.5551256594559708,10683000000.0,0.4736632083000798,16.59236371661885,21.998071295557327,0.06026868848097899,40630300000.0,0.0575383396135396,0.15835459346922756,0.20642968425042393
0000015511-18-000005,0.0,49488000000.0,-11057000000.0,22641000000.0,46066000000.0,21184000000.0,75492000000.0,38640000000.0,180638000000.0,1004000000.0,129528000000.0,312559000000.0,101963000000.0,466830000000.0,766,0.007412464494,219069000000.0,4.755546389962228,175594000000.0,0.3761412077201551,26471000000.0,0.25961378146974884,2.0603580666020047,177.1536733913282,0.4853525298392554,570268000000.0,0.06775761571752226,0.06347399046571764,0.006716140481317556
