,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000004962-18-000032,20160630.0,,,,10250000000.0,,3016000000.0,36000000.29
0.0,0000004962-18-000032,20160930.0,,,,8916000000.0,,1735000000.0,30000000.32
0.0,0000004962-18-000032,20161231.0,499476000069.22,77839000047.68,3325000000.0,119064000011.32,573016500000.0,46586000000.0,103513000003.41
0.0,0000004962-18-000032,20170331.0,,,,9126000000.0,,1817000000.0,31000000.32
0.0,0000004962-18-000032,20170630.0,,,,9647000000.0,,1949000000.0,30000000.32
0.0,0000004962-18-000032,20170930.0,,,,9792000000.0,,1827000000.0,32000000.35
0.0,0000004962-18-000032,20171231.0,594178600292.7401,87937000439.06,3311000000.0,115716000005.95,938882300000.0,70123000000.0,88846000003.56
0.0,0000004969-18-000006,20131231.0,74000000.0,,,,,,2389000000.0
0.0,0000004969-18-000006,20141231.0,535000000.0,,,,,,2389000000.0
0.0,0000004969-18-000006,20151231.0,43570000000.0,1116000000.0,,1187000000.0,28935000000.0,3909000000.0,1661000000.0
0.0,0000004969-18-000006,20160331.0,,,,231000000.0,,57000000.0,
0.0,0000004969-18-000006,20160630.0,,,,236000000.0,,65000000.0,
0.0,0000004969-18-000006,20160930.0,,,,240000000.0,,70000000.0,
0.0,0000004969-18-000006,20161231.0,126402000000.0,1268000000.0,,1510000000.0,136789200000.0,1343000000.0,3303000000.1
0.0,0000004969-18-000006,20170331.0,,,,311000000.0,,66000000.0,
0.0,0000004969-18-000006,20170630.0,,,,310000000.0,,52000000.0,
0.0,0000004969-18-000006,20170930.0,,,,358000000.0,,85000000.0,
0.0,0000004969-18-000006,20171231.0,155396000000.0,3475000000.0,,1493000000.0,211482000000.0,2551000000.0,2506000000.1
0.0,0000004977-18-000054,20141231.0,4658000000.0,48.84,,,,,1979000000.0
0.0,0000004977-18-000054,20151231.0,121424000009.46,14018000213.26,,77781000000.0,19291000000.0,11177000000.0,11290000000.0
0.0,0000004977-18-000054,20160331.0,,,,10189000000.0,,1948000000.0,731000000.0
0.0,0000004977-18-000054,20160630.0,,,,10341000000.0,,1433000000.0,548000000.0
0.0,0000004977-18-000054,20160930.0,,,,10819000000.0,,1641000000.0,629000000.0
0.0,0000004977-18-000054,20161231.0,580273000012.7,92942000218.49,,107421000000.0,576690000000.0,31394000000.0,80272000000.1
0.0,0000004977-18-000054,20170331.0,,,,10043000000.0,292000000.0,1552000000.0,592000000.0
0.0,0000004977-18-000054,20170630.0,,,,10160000000.0,,1791000000.0,713000000.0
