adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000320335-18-000006,0.0,20161231.0,960602000.0,15544230000.0,2797416000.0,4020731000.0,108800000.0,47642668148.88,441591000.0,34283996009.04,756890000.0,59026234000.0,2262331000.0,11992320000.0,33830549002.56,1838,0.0021869319639999996,50788828009.04,12.631739852539253,63046965000.0,1.8636104603336219,-35650348148.88,-2.9727649152857825,12.484171384194495,29.237022527751094,0.0801014315828797,53492750009.04,0.008255156071156788,0.04588527584515575,-0.7187471973750185
0000320575-18-000009,0.0,20161231.0,111528000.0,-8345000.0,5131000.0,107614000.0,588493000.0,418493007.42,33722000.0,1212252001.29,87613000.0,1279414000.0,1924913000.0,549970000.0,1060617000.1,846,0.007694142351,1315435001.29,12.223641917315591,1387028000.0,1.3077557684529142,131476992.57999998,0.23906211717002743,4.931228032422351,74.01807371311163,0.2027892430496209,3274070001.29,0.010299718694686821,0.23414163887569298,0.038589887366555706
0000350698-18-000032,0.0,20161231.0,3048200000.0,425200000.0,1032600000.0,6302500000.0,1236600000.0,1317300031.21,4619100000.0,20404200000.0,1831400000.0,6769300000.0,9698000000.0,39904800000.0,19436400000.02,990,0.01024747309,23877600000.0,3.788591828639429,13071800000.0,0.6725422403318798,38587499968.79,0.9669889328800044,13.091266977232465,27.88118221366853,0.07638680058539324,38194700000.0,0.12093562719434892,0.11309055658185942,0.9832489839896635
0000350852-18-000045,0.0,20161231.0,12053311000.0,86440000.0,61325000.0,34568000.0,80236000.0,1049750000.0,74106000.0,5525230000.0,214551000.0,6581572000.0,195524000.0,266000.0,8174472006.26,1416,0.005304215334,17664981000.0,511.0212045822726,6616140000.0,0.8093660354984846,-1049484000.0,-3945.4285714285716,2.206862496122435e-05,16539317.725563908,45313.1992481203,17934611000.0,0.004132010446170287,0.2909631563678561,-0.061936609609207584
0000350894-18-000011,0.0,20161231.0,704433000.0,623733000.0,525639000.0,505458000.0,338202000.0,3761627136.8200006,1184149000.0,3839384012.43,49750000.0,858020000.0,642305000.0,1773730000.0,5868623000.6,1130,0.003379854632,5167550012.43,10.223500295632872,1363478000.0,0.23233354738591996,-1987897136.8200006,-1.1207439333043927,2.517954156037551,144.9589537302746,0.39714781843910857,6994004012.43,0.16930916795236128,0.34492563541106797,-0.3593844287696793
0000351569-18-000004,0.0,20161231.0,32356236000.0,-589028999.9,-74895000.0,-6381000.0,75065000.0,1126618000.0,216524000.0,15797201000.0,2011261000.0,12796634000.0,316572000.0,3963000.0,8544133001.3,1674,0.007351098358,47564408000.1,-7454.068014433474,12790253000.0,1.4969632375870023,-1122655000.0,-283.2841281857179,0.00012248025388367177,2980072.2028766084,8164.5813777441335,48097504000.1,0.004501772066998533,0.19166983711957758,-0.021784082600166146
0000351817-18-000004,0.0,20161231.0,18000000.0,0.0,0.0,1800000.0,0.0,0.0,0.0,440600000.0,0.0,1305000000.0,0.0,0.0,0.0,192,0.01669760413,458600000.0,254.77777777777777,1306800000.0,0.0,0.0,0.0,0.0,0.0,0.0,458600000.0,0.0,0.0,0.0
0000351998-18-000003,0.0,20161231.0,14362000.0,15492000.0,2958000.0,3961000.0,5312000.0,29930144.0,0.0,86565000.0,-163000.0,9188000.0,24148000.0,26340000.0,55810000.0,542,0.01043392295,116419000.0,29.39131532441303,13149000.0,0.23560293854148,-3590144.0,-0.13630007593014426,1.834006405793065,199.01784358390282,0.5452543659832954,140567000.0,0.0,0.1803122878479294,-0.04658379278208968
0000352541-18-000019,0.0,20161231.0,3771300000.0,-1649499998.825,1983400000.0,10048300000.0,10219700000.0,10435400000.0,0.0,64749300000.0,1543300000.0,43755300000.0,75684600000.0,16488300000.0,68960000030.22,2862,0.004099674960000001,66871100001.175,6.654966511865191,53803600000.0,0.780214616827464,6052900000.0,0.3671027334534185,4.372046774321852,83.48492567456924,0.22872582376594314,142555700001.175,0.0,0.11896610530555514,0.028546736468387148
0000352736-18-000004,0.0,20161231.0,437000000.0,752000000.0,495000000.0,2050000000.0,-64000000.0,35847389000.0,0.0,50058000000.0,1154000000.0,60128000000.0,6988000000.0,3160000000.0,60552000227.0,1456,0.0024683878849999998,51247000000.0,24.998536585365855,62178000000.0,1.0268529489844165,-32687389000.0,-10.344110443037975,7.231121281464531,50.47626582278481,0.13829113924050632,58235000000.0,0.0,-0.00924321201617562,-0.5698014767751353
0000352825-18-000004,0.0,20161231.0,187429000.0,19823000.12,18073000.0,89431000.0,118931000.0,1074329000.0,360857000.0,1219012106.22,146243000.0,424584000.0,406989000.0,1082175000.0,867321000.01,1146,0.007195134159,1426264106.3400002,15.948207068466193,514015000.0,0.5926467824416491,7846000.0,0.007250213690022408,5.773786340427575,63.21674867743202,0.17319657171899183,2194110106.34,0.16446622207212125,0.22613895649528445,-0.004661115214978742
0000352991-18-000002,0.0,20161231.0,0.0,42684.0,13763.0,3494.0,0.0,46610.0,0.0,6478.0,-12413.0,0.0,5017.0,53646.0,-40492.0,260,0.02987531057,49162.0,14.07040641099027,3494.0,-0.08628864960979947,7036.0,0.13115609737911493,0.0,0.0,0.0,54179.0,0.0,0.0,-0.12416249838498311
0000353020-18-000017,0.0,20161231.0,182492000.0,150593000.0,71161000.0,277927000.0,325317000.0,1143103087.55,1648933000.0,3226415020.58,42905000.0,1717414000.0,595386000.0,4841036000.0,3009654000.11,1340,0.008162586176,3559500020.58,12.80731998179378,1995341000.0,0.6629801963704373,3697932912.45,0.7638722191799441,26.527387501917893,13.759364731020385,0.03769688967402845,5803819020.58,0.2841117192236665,0.3533354404188973,0.6248940395263327
0000353569-18-000021,0.0,20161231.0,38706000.0,135564000.0,11815000.0,45643000.0,106647000.0,340532067.59000003,299693000.0,815558081.81,8575000.0,217258000.0,219658000.0,458356000.0,814164000.002,1140,0.00734784906,989828081.81,21.686306373595073,262901000.0,0.32290914361155026,117823932.40999997,0.25705768531447165,11.841988322223944,30.82252659504839,0.08444527834259832,1509179081.81,0.19858014440577187,0.32683225816337474,0.07024277879790153
0000354707-18-000024,0.0,20161231.0,34563104000.0,-207873000.0,1407380000.0,3839621000.0,8331973000.0,11224098000.0,164380000.0,44239794000.0,1126648000.0,42497862000.0,52610375000.0,8176530000.0,61959652008.217,4856,0.0014505301509999998,78595025000.0,20.469474721593617,46337483000.0,0.747865449500181,-3047568000.0,-0.3727214356212232,0.2365681623965255,1542.895697808239,4.22711150084449,131369780000.0,0.0012512771202022321,0.13671893639542737,-0.03391151298266618
0000354908-18-000014,0.0,20161231.0,1086115000.0,273020000.12,319751000.0,236802000.0,370376000.0,1711036028.88,1226920000.0,6979751000.0,524560000.0,1956868000.0,1184220000.0,2174253000.0,6368854000.02,1140,0.005656784739999999,8338886000.12,35.21459278266231,2193670000.0,0.3444371624774427,463216971.1199999,0.21304649050501479,2.0018626020264887,182.33019570399583,0.4995347827506734,10750026000.119999,0.1141318169822384,0.23824582077916062,0.013345639454118383
0000355019-18-000006,0.0,20161231.0,-2689000.0,5253000.0,6657000.0,-4643000.0,4301000.0,80573000.0,-96000.0,-161000.0,0.0,-1314000.0,10697000.0,127739000.0,10667000.0,606,0.019250244950000002,2403000.0,-0.5175533060521215,-5957000.0,-0.5584512983969251,47166000.0,0.3692372728767252,-47.5042766827817,-7.6835187374255325,-0.021050736266919265,13004000.0,-0.0073823438941864605,0.2867715695426057,3.1151184250999693
0000355429-18-000003,0.0,20161231.0,3962785000.0,-3953886000.0,249638000.0,4106329000.0,55206000.0,116117627000.0,3368695000.0,258421694000.0,6633856000.0,160105092000.0,10575152000.0,6047513000.0,89696869000.01,1940,0.002011390258,258430593000.0,62.93470226082713,164211421000.0,1.8307374920743522,-110070114000.0,-18.20088919197032,1.5260764840888417,239.1754304620759,0.6552751519508929,272374440000.0,0.012367882243282446,0.005193239964260846,-0.4050297524246401
0000355811-18-000009,0.0,20161231.0,233314090.0,391021485.0,477048185.0,240572347.0,801760941.0,1453653799.0,701741245.0,6252226912.0,81310048.0,869653539.0,2614522770.0,2098837756.0,7069783390.415,822,0.005812106505,6876562487.0,28.58417674663165,1110225886.0,0.15703817566818395,645183957.0,0.30740058642246,8.995760847533898,40.57466691103302,0.11116347098913157,10192826502.0,0.0688465799807646,0.23468804374134136,0.016495500239017018
0000356028-18-000025,0.0,20161231.0,-57000000.0,2770000000.0,658000000.0,-20000000.0,369000000.0,7352000000.0,4126000000.0,355000004.42,1414000000.0,1368000000.0,372000000.0,8685000000.0,872000000.2550001,672,0.0023523868669999997,3068000004.42,-153.400000221,1348000000.0,1.5458715591809662,1333000000.0,0.15348301669545192,-152.3684210526316,-2.395509499136442,-0.0065630397236614854,7566000004.42,0.5453343903766352,0.4979757085020243,0.08921490875041899
0000356037-18-000010,0.0,20161231.0,-1932000.0,16619000.0,2292000.0,3089000.0,283000.0,38323000.0,31000.0,52018000.0,-413000.0,2000.0,4102000.0,39746000.0,175000.0,396,0.015567555269999998,66705000.0,21.594367109096794,3091000.0,17.662857142857142,1423000.0,0.03580234489005183,-20.57246376811594,-17.742162733356817,-0.04860866502289538,70838000.0,0.0004376182275049878,0.0645381984036488,-0.012267427087156611
0000356130-18-000035,0.0,20161231.0,23787000.0,-77451998.44,120665000.0,97334000.0,0.0,6059815022.14,942000.0,4277030000.0,9562000.0,1169604000.0,7098913000.0,1405789000.0,2798905001.0,1382,0.003556390408,4223365001.56,43.39043912260875,1266938000.0,0.4526548773707379,-4654026022.14,-3.3106149088803516,59.09904569722958,6.176072653861995,0.016920746996882178,11323220001.56,8.319188356931129e-05,0.0,-0.42167254733920134
0000356309-18-000056,0.0,20161231.0,152764000.0,-30337000.0,-47252000.0,9209000.0,19260000.0,983047000.0,0.0,55268000.0,172804000.0,4565000.0,117378000.0,1109468000.0,268555000.255,740,0.0109431457,177695000.0,19.2957975893148,13774000.0,0.05128930754192335,126421000.0,0.11394740542313973,7.26262732057291,50.257294487087506,0.1376912177728425,295073000.0,0.0,0.14095639573178764,0.5885763861824023
0000357173-18-000015,0.0,20161231.0,7569084000.0,147015000.0,27256000.0,8829000.0,63972000.0,283149000.0,30786000.0,4115504000.0,424446000.0,4000788000.0,147258000.0,3360000.0,4074430001.0,1524,0.004124672972,11831603000.0,1340.0841544908824,4009617000.0,0.9840927440196315,-279789000.0,-83.27053571428571,0.0004439110465678542,822236.8035714285,2252.7035714285716,12009647000.0,0.002563439208496332,0.30285470813804855,-0.02556652997377858
0000700564-18-000010,0.0,20161231.0,75644495000.0,-788680000.0,210159000.0,19594000.0,297908000.0,2121477000.0,533366000.0,30921550000.0,1857696000.0,33699409000.0,742930000.0,19390000.0,51553754015.280014,1634,0.009532829307,105777365000.0,5398.456925589466,33719003000.0,0.6540552408657966,-2102087000.0,-108.4108818978855,0.00025633061599525516,1423942.2730789068,3901.2117070654976,107053661000.0,0.004982230360155548,0.28621937323579655,-0.021598943729724478
0000700565-18-000032,0.0,20161231.0,15001539000.0,376566150.62,-47119000.0,7058000.0,43262000.0,335676799.02,256427000.0,4497241553.910001,394393000.0,5164271000.0,116905000.0,21450000.0,7647333004.62,2168,0.005680025047,19875346704.530003,2816.0026501175976,5171329000.0,0.6762264696562623,-314226799.02,-14.649268019580418,0.0014298532970517224,255270.94335664337,699.3724475524475,20248678704.530003,0.012663888036439253,0.2701055773036893,-0.013191369319334552
0000700565-18-000041,0.0,20161231.0,15001539000.0,376566150.62,-47119000.0,7058000.0,43262000.0,335676799.02,256427000.0,4497241553.910001,394393000.0,5164271000.0,116905000.0,21450000.0,7647333004.62,2168,0.005680025047,19875346704.530003,2816.0026501175976,5171329000.0,0.6762264696562623,-314226799.02,-14.649268019580418,0.0014298532970517224,255270.94335664337,699.3724475524475,20248678704.530003,0.012663888036439253,0.2701055773036893,-0.013191369319334552
0000700841-18-000006,0.0,20161231.0,42671000.0,-1212000.0,21512000.0,14195000.0,7945000.0,179581023.36,15028000.0,146939002.33,83988000.0,89315000.0,58688000.0,207348000.0,171113001.05,664,0.002878048923,188398002.33,13.272138240929905,103510000.0,0.6049218900073753,27766976.639999986,0.1339148515539093,4.859225234937076,75.11485521924494,0.2057941238883423,262114002.33,0.05733383133450398,0.1192352137829604,0.02386357304225589
0000701347-18-000013,0.0,20161231.0,22055430000.0,-94837000.0,76485000.0,11144000.0,97189000.0,718699000.0,254205000.0,7899708000.0,769412000.0,5347693000.0,204775000.0,0.0,11380198000.6,1604,0.0035453838040000003,29860301000.0,2679.495782483848,5358837000.0,0.4708913675946117,-718699000.0,0.0,0.0,0.0,0.0,30319281000.0,0.008384268743048318,0.3218562477646342,-0.02622700716418704
0000701347-18-000017,0.0,20161231.0,22055430000.0,-94837000.0,76485000.0,11144000.0,97189000.0,718699000.0,254205000.0,7899708000.0,769412000.0,5347693000.0,204775000.0,0.0,11380198000.6,1604,0.0035453838040000003,29860301000.0,2679.495782483848,5358837000.0,0.4708913675946117,-718699000.0,0.0,0.0,0.0,0.0,30319281000.0,0.008384268743048318,0.3218562477646342,-0.02622700716418704
0000701374-18-000051,0.0,20161231.0,78175000.0,42146000.63999999,463555000.0,502122000.0,2054292000.0,687305000.0,1719265000.0,7758402000.0,518561000.0,8585397000.0,3946357000.0,3035050000.0,5111171003.405001,1254,0.004905009829,7878723000.64,15.690854016832564,9087519000.0,1.7779720134477996,2347745000.0,0.7735440931780366,38.82379277262552,9.40145137641884,0.02575740103128449,13544345000.64,0.1269360016980342,0.342344969685779,0.1391126702628269
0000701869-18-000019,0.0,20161231.0,7571000.0,235317000.0,-35407000.0,55546000.0,1831000.0,2546546000.0,103084000.0,2688659000.0,156752000.0,1146111000.0,606969000.0,658433000.0,5428222004.105,1766,0.01135549297,2931547000.0,52.77692363086451,1201657000.0,0.2213721176273313,-1888113000.0,-2.867585616152289,86.9677717606657,4.196957017646443,0.01149851237711354,3641600000.0,0.02830733743409486,0.0030075558475689884,-0.5087615333919157
