fraud,adsh,ddate,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity,
0,0000008063-18-000006,20160630,,,0,224241000,,21555000,,
0,0000008063-18-000006,20160930,,,0,205836000,,16422000,,
0,0000008063-18-000006,20161231,1924159029,690014093.3,263336000,1224864000,1313374000,1032998000,790571000,
0,0000008063-18-000006,20170331,,,0,202300000,,15491000,,
0,0000008063-18-000006,20170630,,,0,192949000,,10569000,,
0,0000008063-18-000006,20170930,,,0,188189000,,8646000,,
0,0000008063-18-000006,20171231,2585129032,673323107.3,375997000,1084961000,1835623000,1596493000,823277000,
0,0000008670-18-000003,20160630,15458600000,,,,,,-215100000,
0,0000008670-18-000003,20160930,,,,,,,-246400000,
0,0000008670-18-000003,20161231,15515800000,13240300000,,54647900006,25900000,4493300000,-1658999998,
0,0000008670-18-000003,20170630,165557600000,21798600000,1741000000,845700000,112245200000,33801400000,30561400001,
0,0000008670-18-000003,20170930,,,,,,,-344600000,
0,0000008670-18-000003,20171231,258056700000,36484200000,2587600000,60821100006,159375400000,43432800000,32066900003,
0,0000008868-18-000013,20141231,1041300000,,,,,,305300000,
0,0000008868-18-000013,20150331,11400000,-7600000,,800000,,,,
0,0000008868-18-000013,20151231,6567700000,1560900000,6900000,13138700046,479400000,4054300000,-5652800000,
0,0000008868-18-000013,20160229,,,,,,,1015,
0,0000008868-18-000013,20160331,29300000,46800000,,1926499999,,-158100000,-155300000,
0,0000008868-18-000013,20160630,,9400000,,2429100000,,71900000,36000000,
0,0000008868-18-000013,20160930,,14000000,,2441200000,,74600000,35900000,
0,0000008868-18-000013,20161231,22400200001,3707300020,365800000,20217699999,13939200000,9778200000,5805000000,
0,0000008868-18-000013,20170331,,10000000,,2141300000,,-6700000,-36500000,
0,0000008868-18-000013,20170630,,20300000,,2252900000,,-12200000,-46100000,
0,0000008868-18-000013,20170930,,6200000,,2381100000,,48000000,11300000,
0,0000008868-18-000013,20171231,27246300002,3816000083,372100000,23021000000,17027000000,10746800000,5787100000,
0,0000009092-18-000002,20101231,,,,,1500000,,,
0,0000009092-18-000002,20141231,10781000,,,1739000,,,214331000,
